state,population,hospital_100k,cases_100k
AK,1126956.0,7.626073244936881,304.76905907728633
AL,4903185.0,7.755948827292111,146.16448187633262
AR,3017804.0,7.716385434173668,129.7861886834734
AS,52502.36666666667,13.65,534.8293333333334
AZ,7278717.0,8.377904761904762,144.1237142857143
CA,39512223.0,7.858571428571429,156.9012709359606
CO,5758736.0,5.6423660714285715,114.32464732142857
CT,3565287.0,9.712142857142858,129.97071428571428
DC,705749.0,6.291428571428571,139.82285714285715
DE,973764.0,10.655238095238095,169.02342857142858
FL,21477737.0,12.335991471215351,150.61413646055436
GA,10617423.0,7.314699011680144,110.5529451931716
GU,166704.65625,22.00625,265.8925
HI,1415872.0,9.33257142857143,179.70565714285712
IA,3155070.0,7.022914862914863,116.2010505050505
ID,1787065.0,6.055129870129871,110.25743506493505
IL,12671821.0,7.8056302521008405,161.80138655462187
IN,6732219.0,7.654689440993789,109.37126397515527
KS,2913314.0,6.779727891156463,111.16851972789117
KY,4467673.0,10.56257142857143,178.54884285714286
LA,4648794.0,9.185133928571428,143.32632589285714
MA,6892503.0,8.437142857142858,153.87830612244898
MD,6045680.0,7.316547619047618,111.31859523809523
ME,1344212.0,8.565892857142858,188.10991071428572
MI,9986857.0,8.327297762478485,122.44056110154905
MN,5639632.0,6.894187192118227,131.51022331691297
MO,6137428.0,7.70335403726708,116.77544886128365
MS,2976149.0,5.836341463414635,136.85439721254357
MT,1183212.0,12.124346159516438,124.41577428866285
NC,10488084.0,7.354457142857143,163.1171342857143
ND,762062.0,6.589595687331537,113.5746846361186
NE,1934408.0,6.95188940092166,101.8822365591398
NH,1359711.0,7.194,150.88091428571428
NJ,8882190.0,9.598095238095238,191.14500680272107
NM,2096829.0,4.934718614718615,147.03581818181817
NV,3080156.0,5.861344537815126,117.7870756302521
NY,19453561.0,10.102304147465437,156.10899539170507
OH,11689100.0,8.52685064935065,128.76172402597402
OK,3956971.0,7.027235621521337,131.29867903525047
OR,4217737.0,7.419126984126984,134.53403174603173
PA,12801989.0,8.900810234541579,123.15358208955223
PR,3193694.0,5.585714285714285,446.31446886446884
RI,1059361.0,6.6811428571428575,205.03817142857142
SC,5148714.0,7.003105590062111,130.3966708074534
SD,884659.0,7.0791341991342,95.19918614718615
TN,6829174.0,6.28383193277311,154.50164033613444
TX,28995881.0,6.498470191226097,133.9721214848144
UT,3205958.0,6.322167487684729,83.31057142857144
VA,8535519.0,8.506627282491944,174.17217413281102
VT,623989.0,8.174897959183673,195.7075714285714
WA,7614893.0,6.367399267399267,117.46826373626375
WI,5822434.0,7.463015873015873,144.97532142857142
WV,1792147.0,12.463116883116882,202.88638441558442
WY,578759.0,6.977888198757764,122.86899378881986
