state,total_income,total_deaths,population,hospital_100k,cases_100k
CA,3399586966.0586,100927.0,39512223.0,7.858571428571429,156.9012709359606
TX,2009629290.0952,98883.0,28995881.0,6.498470191226097,133.9721214848144
NY,1773392122.1021,74666.0,19453561.0,10.102304147465436,156.1089953917051
FL,1632665120.0214,75799.0,21477737.0,12.335991471215351,150.61413646055436
IL,992363840.1229,36124.0,12671821.0,7.80563025210084,161.80138655462187
PA,939560154.1002,48784.0,12801989.0,8.900810234541579,123.15358208955224
NJ,856468150.0138,33394.0,8882190.0,9.598095238095238,191.14500680272107
OH,753229104.0527,45879.0,11689100.0,8.52685064935065,128.76172402597402
MA,711218448.0113,19356.0,6892503.0,8.437142857142858,153.87830612244898
WA,705256566.0318,13343.0,7614893.0,6.367399267399267,117.46826373626376
VA,688599126.0676,21034.0,8535519.0,8.506627282491944,174.17217413281102
GA,658718362.0401,34103.0,10617423.0,7.314699011680144,110.5529451931716
NC,655796922.0368,31203.0,10488084.0,7.354457142857143,163.1171342857143
MI,652134304.0533,33972.0,9986857.0,8.327297762478485,122.44056110154904
MD,516527414.0264,16537.0,6045680.0,7.316547619047618,111.31859523809524
CO,491333234.023,14006.0,5758736.0,5.642366071428572,114.32464732142856
AZ,464193528.0129,28353.0,7278717.0,8.377904761904762,144.1237142857143
MN,453679510.0629,13683.0,5639632.0,6.894187192118227,131.51022331691297
TN,421087076.0397,27954.0,6829174.0,6.28383193277311,154.50164033613444
WI,411484512.0426,15562.0,5822434.0,7.463015873015873,144.97532142857142
IN,408032496.044,24984.0,6732219.0,7.654689440993789,109.37126397515529
MO,380618038.0924,21600.0,6137428.0,7.70335403726708,116.77544886128364
CT,368159694.0066,11538.0,3565287.0,9.712142857142858,129.97071428571428
SC,303096590.0237,19250.0,5148714.0,7.003105590062111,130.3966708074534
OR,298757696.0275,8100.0,4217737.0,7.419126984126984,134.53403174603173
AL,264259466.0475,20229.0,4903185.0,7.755948827292111,146.16448187633262
LA,254009784.0382,16719.0,4648794.0,9.185133928571428,143.32632589285714
KY,235911902.0717,18111.0,4467673.0,10.56257142857143,178.54884285714286
NV,223395046.0061,11535.0,3080156.0,5.861344537815126,117.7870756302521
OK,215009002.0602,17000.0,3956971.0,7.027235621521337,131.29867903525047
UT,214266890.0151,5410.0,3205958.0,6.322167487684729,83.31057142857144
IA,202980278.0977,10137.0,3155070.0,7.022914862914863,116.2010505050505
KS,192996114.065,9251.0,2913314.0,6.779727891156463,111.16851972789117
AR,155502996.0567,11783.0,3017804.0,7.716385434173668,129.7861886834734
MS,135145028.0331,13932.0,2976149.0,5.836341463414635,136.85439721254355
NE,129916330.0546,5071.0,1934408.0,6.95188940092166,101.8822365591398
NH,122249848.013,2678.0,1359711.0,7.194,150.88091428571428
NM,112866906.0229,8194.0,2096829.0,4.934718614718615,147.03581818181817
ID,111143430.0212,5229.0,1787065.0,6.055129870129871,110.25743506493504
HI,100663320.0008,1659.0,1415872.0,9.33257142857143,179.70565714285712
ME,88122632.034,2769.0,1344212.0,8.565892857142858,188.1099107142857
WV,87025332.0769,7509.0,1792147.0,12.463116883116882,202.8863844155844
RI,79793104.0023,3785.0,1059361.0,6.6811428571428575,205.03817142857145
DC,76414512.0004,2098.0,705749.0,6.291428571428571,139.82285714285717
DE,70671410.0022,3122.0,973764.0,10.655238095238095,169.02342857142858
MT,69798958.0283,3605.0,1183212.0,12.124346159516438,124.41577428866285
SD,59383710.0331,3154.0,884659.0,7.0791341991342,95.19918614718615
ND,57622025.0481,2832.0,762062.0,6.589595687331537,113.5746846361186
AK,53387284.0031,1332.0,1126956.0,7.626073244936881,304.7690590772864
WY,48421544.0137,1704.0,578759.0,6.977888198757764,122.86899378881986
VT,45741752.0252,755.0,623989.0,8.174897959183673,195.7075714285714
