state,county,total_deaths
CA,Los Angeles,31094.0
AZ,Maricopa,17970.0
IL,Cook,15478.0
TX,Harris,13207.0
NY,Kings,10733.0
FL,Miami-Dade,10385.0
NY,Queens,9153.0
NV,Clark,9078.0
TX,Bexar,8905.0
CA,San Bernardino,8527.0
CA,Orange,8378.0
CA,Riverside,8049.0
TX,Tarrant,7639.0
NY,New York,7254.0
TX,Dallas,7239.0
CA,San Diego,7160.0
MI,Wayne,7090.0
NY,Bronx,6870.0
NY,Nassau,6293.0
NY,Suffolk,6200.0
FL,Broward,6004.0
OH,Cuyahoga,5747.0
FL,Palm Beach,5668.0
PA,Philadelphia,5134.0
MI,Oakland,5127.0
PA,Allegheny,5057.0
OH,Franklin,4865.0
OK,Oklahoma,4831.0
AZ,Pima,4498.0
TX,El Paso,4404.0
MO,St. Louis,4363.0
IN,Marion,4241.0
OK,Tulsa,4215.0
FL,Hillsborough,4092.0
FL,Duval,4057.0
NJ,Bergen,3975.0
TX,Hidalgo,3952.0
MA,Middlesex,3865.0
NJ,Essex,3860.0
NY,Erie,3831.0
TN,Shelby,3793.0
AL,Jefferson,3790.0
KY,Jefferson,3758.0
TN,Davidson,3736.0
NY,Westchester,3706.0
MN,Hennepin,3627.0
CT,Hartford,3555.0
FL,Orange,3549.0
OH,Hamilton,3459.0
CA,Sacramento,3434.0
FL,Pinellas,3406.0
OH,Montgomery,3258.0
PA,Montgomery,3213.0
NJ,Middlesex,3168.0
NM,Bernalillo,3153.0
CT,New Haven,3119.0
CA,Fresno,3073.0
WA,King,3038.0
GA,Fulton,3001.0
MD,Montgomery,2960.0
CT,Fairfield,2956.0
NC,Mecklenburg,2922.0
RI,Providence,2889.0
MA,Suffolk,2882.0
CA,Santa Clara,2864.0
FL,Polk,2730.0
TX,Collin,2715.0
MO,Jackson,2710.0
MI,Macomb,2657.0
MD,Baltimore city,2653.0
WI,Milwaukee,2612.0
NJ,Ocean,2600.0
CA,Kern,2576.0
MA,Worcester,2534.0
CA,Stanislaus,2531.0
OH,Lucas,2511.0
NY,Monroe,2500.0
TX,Cameron,2490.0
TN,Knox,2472.0
TX,Lubbock,2426.0
TX,Travis,2424.0
AR,Pulaski,2419.0
SC,Greenville,2418.0
MD,Baltimore,2406.0
LA,East Baton Rouge Parish,2392.0
CA,San Joaquin,2389.0
NJ,Monmouth,2381.0
MA,Essex,2374.0
TX,Smith,2371.0
CA,Alameda,2339.0
IN,Lake,2328.0
TX,Montgomery,2254.0
UT,Salt Lake,2245.0
PA,Lehigh,2223.0
FL,Brevard,2212.0
NY,Richmond,2202.0
FL,Lee,2195.0
OH,Stark,2180.0
CO,El Paso,2163.0
FL,Marion,2154.0
OH,Summit,2151.0
NJ,Hudson,2135.0
MO,Greene,2126.0
TN,Hamilton,2105.0
DC,District of Columbia,2098.0
MI,Kent,2081.0
NJ,Union,2076.0
NJ,Morris,2073.0
FL,Volusia,2057.0
KS,Sedgwick,2041.0
FL,Sarasota,2035.0
MN,Ramsey,2032.0
MS,Hinds,2022.0
IN,Allen,2014.0
MD,Prince George's,2005.0
TX,Nueces,1995.0
SC,Spartanburg,1983.0
NJ,Passaic,1977.0
NJ,Camden,1977.0
GA,Richmond,1969.0
FL,Pasco,1944.0
AL,Mobile,1938.0
PA,Lancaster,1920.0
LA,Jefferson Parish,1910.0
NC,Wake,1909.0
GA,Cobb,1903.0
LA,Caddo Parish,1896.0
