Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
10/19/2022,01/01/2020,10/15/2022,AK,Aleutians East Borough,2013,Noncore,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Anchorage Municipality,2020,Medium metro,734,7081,
10/19/2022,01/01/2020,10/15/2022,AK,Bethel Census Area,2050,Noncore,39,317,
10/19/2022,01/01/2020,10/15/2022,AK,Denali Borough,2068,Noncore,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Dillingham Census Area,2070,Noncore,,96,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Fairbanks North Star Borough,2090,Small metro,186,1689,
10/19/2022,01/01/2020,10/15/2022,AK,Hoonah-Angoon Census Area,2105,Noncore,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Juneau City and Borough,2110,Micropolitan,17,532,
10/19/2022,01/01/2020,10/15/2022,AK,Kenai Peninsula Borough,2122,Noncore,84,1179,
10/19/2022,01/01/2020,10/15/2022,AK,Ketchikan Gateway Borough,2130,Micropolitan,17,286,
10/19/2022,01/01/2020,10/15/2022,AK,Kodiak Island Borough,2150,Noncore,,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Matanuska-Susitna Borough,2170,Medium metro,235,2096,
10/19/2022,01/01/2020,10/15/2022,AK,Nome Census Area,2180,Noncore,,171,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,North Slope Borough,2185,Noncore,,109,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Northwest Arctic Borough,2188,Noncore,10,142,
10/19/2022,01/01/2020,10/15/2022,AK,Petersburg Census Area,2195,Noncore,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Sitka City and Borough,2220,Noncore,10,171,
10/19/2022,01/01/2020,10/15/2022,AK,Skagway Municipality,2230,Noncore,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Southeast Fairbanks Census Area,2240,Noncore,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Valdez-Cordova Census Area,2261,Noncore,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Wade Hampton Census Area,2270,Noncore,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/19/2022,01/01/2020,10/15/2022,AK,Wrangell City and Borough,2275,Noncore,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
