county,state,hospital_100k,cases_100k
Lincoln,WI,13.4,177.58
Manitowoc,WI,9.8,169.66
Marathon,WI,13.4,209.3
Monroe,WI,15.6,216.2
Portage,WI,7.1,217.6
Sauk,WI,9.0,229.66
Shawano,WI,4.6,205.38
Vernon,WI,15.6,155.73
Washington,WI,13.7,176.43
Goshen,WY,10.0,174.1
Hot Springs,WY,0.0,203.94
Johnson,WY,12.8,201.3
Sheridan,WY,12.8,177.14
Weston,WY,0.0,144.36
Aguas Buenas Muni,PR,7.0,467.48
Arroyo Muni,PR,7.0,690.34
Barceloneta Muni,PR,7.0,598.47
Barranquitas Muni,PR,7.0,425.61
Cabo Rojo Muni,PR,7.0,387.25
Caguas Muni,PR,7.0,593.07
Camuy Muni,PR,7.0,563.86
Comerío Muni,PR,7.0,627.41
Corozal Muni,PR,7.0,718.42
Guánica Muni,PR,7.0,448.55
Guayama Muni,PR,7.0,433.3
Jayuya Muni,PR,7.0,583.11
Lares Muni,PR,7.0,790.9
Luquillo Muni,PR,7.0,356.64
Manatí Muni,PR,7.0,627.56
Naranjito Muni,PR,7.0,563.09
Ponce Muni,PR,7.0,470.12
Rincón Muni,PR,7.0,490.63
Río Grande Muni,PR,7.0,420.61
San Juan Muni,PR,7.0,370.24
Toa Alta Muni,PR,7.0,370.7
Yabucoa Muni,PR,7.0,390.31
Baldwin,AL,19.2,240.11
Butler,AL,15.4,395.93
Coffee,AL,19.1,357.27
Coosa,AL,21.2,422.02
Dale,AL,19.1,321.32
DeKalb,AL,12.1,220.94
Macon,AL,5.3,287.8
Madison,AL,27.2,304.9
Marion,AL,4.3,225.52
Pickens,AL,4.8,255.9
St. Clair,AL,16.3,308.34
Sumter,AL,6.9,241.41
Talladega,AL,21.2,290.08
Wilcox,AL,9.3,453.1
Aleutians West CA,AK,14.2,17.75
Matanuska-Susitna Borough,AK,14.2,262.19
Nome CA,AK,14.2,449.82
North Slope Borough,AK,14.2,81.37
Prince of Wales-Hyder CA,AK,7.7,274.06
Valdez-Cordova Census Area,AK,14.2,108.67
Cochise,AZ,5.9,206.48
Graham,AZ,5.9,409.4
Greenlee,AZ,5.9,157.93
La Paz,AZ,28.1,123.18
Mohave,AZ,14.6,169.67
Baxter,AR,22.2,128.78
Bradley,AR,14.8,232.28
Carroll,AR,6.1,105.71
Clark,AR,13.7,107.53
Cleveland,AR,14.8,125.69
Craighead,AR,12.4,309.97
Drew,AR,14.8,153.69
Hot Spring,AR,13.7,281.31
Howard,AR,5.6,234.81
Johnson,AR,15.1,173.08
Little River,AR,5.6,179.46
Logan,AR,14.5,270.19
Madison,AR,6.4,223.21
Marion,AR,22.2,251.59
Monroe,AR,28.9,179.08
Montgomery,AR,13.7,55.64
Ouachita,AR,6.6,243.78
Poinsett,AR,12.4,429.28
Pope,AR,12.9,167.0
Scott,AR,14.5,272.35
Sevier,AR,5.6,446.87
Sharp,AR,12.4,177.73
Washington,AR,6.4,151.76
White,AR,25.3,251.42
Calaveras,CA,10.5,119.81
Del Norte,CA,4.3,204.95
Kern,CA,37.8,229.17
Modoc,CA,8.9,22.62
Monterey,CA,10.9,258.03
Napa,CA,15.4,184.4
San Diego,CA,8.8,210.58
San Francisco,CA,8.7,168.23
Shasta,CA,8.9,141.6
Sierra,CA,12.7,66.56
Sonoma,CA,8.1,156.98
Tehama,CA,9.6,158.26
Yuba,CA,12.7,200.84
Arapahoe,CO,7.9,113.77
Denver,CO,7.9,109.05
Dolores,CO,14.3,97.32
Elbert,CO,7.9,82.31
El Paso,CO,6.7,139.78
Garfield,CO,10.9,141.52
Gunnison,CO,4.7,40.09
Jefferson,CO,7.9,91.61
Kiowa,CO,9.2,71.12
Larimer,CO,11.5,146.82
Mesa,CO,10.9,135.53
Phillips,CO,3.5,187.57
Routt,CO,2.6,136.52
Hartford,CT,11.8,130.53
New Haven,CT,12.4,148.23
Tolland,CT,11.8,110.14
Alachua,FL,33.7,193.28
Bradford,FL,33.7,195.03
Citrus,FL,24.3,201.13
Clay,FL,19.5,220.75
DeSoto,FL,31.9,160.52
Hardee,FL,22.6,207.89
Hendry,FL,20.6,199.9
Jackson,FL,10.5,249.92
Liberty,FL,12.5,287.29
Monroe,FL,19.2,144.15
Nassau,FL,19.5,212.13
Okaloosa,FL,16.3,161.81
Orange,FL,14.8,172.95
Palm Beach,FL,21.6,188.21
Pasco,FL,25.4,215.18
Pinellas,FL,25.4,185.95
Seminole,FL,14.8,161.5
Suwannee,FL,33.7,270.17
Washington,FL,10.5,105.99
Atkinson,GA,13.5,269.44
Bacon,GA,21.9,358.29
Berrien,GA,27.7,376.35
Butts,GA,24.0,332.85
Camden,GA,19.5,254.27
Charlton,GA,19.5,149.34
Cherokee,GA,15.7,249.64
Clay,GA,13.7,141.14
Cobb,GA,15.7,203.12
Crisp,GA,13.8,388.88
Decatur,GA,14.9,147.7
Forsyth,GA,14.8,214.94
Franklin,GA,10.6,158.47
Lanier,GA,27.7,450.93
Liberty,GA,12.4,504.6
Long,GA,12.4,429.47
Lowndes,GA,27.7,290.45
Marion,GA,12.2,406.75
Meriwether,GA,12.7,193.7
Mitchell,GA,6.6,411.65
Putnam,GA,17.2,230.57
Rabun,GA,11.7,140.05
Stephens,GA,10.6,181.29
Stewart,GA,12.2,151.03
Taylor,GA,16.0,448.88
Telfair,GA,22.2,201.77
Terrell,GA,13.7,316.49
Towns,GA,4.8,108.0
Troup,GA,12.7,326.08
Twiggs,GA,16.0,184.73
Shawano,WI,10.8,112.47
Sheboygan,WI,9.4,112.71
Taylor,WI,23.3,98.31
Vega Alta Muni,PR,2.4,69.33
Warren,GA,8.8,228.4
Worth,GA,13.7,286.46
Honolulu,HI,15.2,193.52
Maui,HI,15.2,188.75
Ada,ID,14.1,143.28
Blaine,ID,0.0,99.91
Boise,ID,14.1,12.77
Boundary,ID,3.7,40.83
Caribou,ID,5.8,27.95
Idaho,ID,7.4,18.0
Jerome,ID,12.9,262.17
Lincoln,ID,12.9,55.91
Owyhee,ID,14.1,84.58
Power,ID,5.8,78.11
Adams,IL,23.7,256.74
Alexander,IL,13.9,225.66
Boone,IL,17.1,173.69
Carroll,IL,15.5,139.81
Clinton,IL,8.5,204.99
Coles,IL,20.1,296.32
Cumberland,IL,20.1,390.12
Effingham,IL,7.2,249.94
Fayette,IL,7.2,243.72
Ford,IL,20.1,254.61
Hamilton,IL,9.2,258.75
Jo Daviess,IL,20.3,75.35
Livingston,IL,9.9,159.9
McDonough,IL,7.4,192.04
McLean,IL,9.3,160.92
Mercer,IL,7.1,168.43
Peoria,IL,11.9,140.64
Piatt,IL,8.3,165.2
Pulaski,IL,13.9,224.93
Randolph,IL,8.5,349.25
Rock Island,IL,7.1,303.08
Woodford,IL,9.3,174.21
Boone,IN,13.3,88.44
Clinton,IN,12.1,203.71
Daviess,IN,16.5,266.86
Fayette,IN,6.2,277.03
Fountain,IN,9.4,214.12
Grant,IN,13.6,238.71
Jackson,IN,18.7,237.39
Jay,IN,5.8,132.12
Johnson,IN,13.9,273.76
Knox,IN,16.5,355.25
LaPorte,IN,9.0,169.26
Madison,IN,7.7,251.6
Morgan,IN,13.9,147.54
Parke,IN,12.4,188.94
Porter,IN,10.5,180.76
Randolph,IN,20.6,235.15
Rush,IN,13.9,410.11
Starke,IN,9.0,178.3
Sullivan,IN,12.4,261.26
Tipton,IN,17.0,72.62
Vanderburgh,IN,11.0,288.23
Warrick,IN,11.0,285.72
Adams,IA,7.4,277.62
Audubon,IA,6.6,181.95
