state,total_income,total_deaths,hospital_100k,cases_100k
AK,53387284.0031,1332.0,7773.4,316841.31
AL,264259466.0475,20229.0,18187.7,342755.71
AR,155502996.0567,11783.0,20244.3,340520.04
AZ,464193528.0129,28353.0,4398.4,75664.95
CA,3399586966.0586,100927.0,15952.9,318509.58
CO,491333234.023,14006.0,12638.9,256087.21
CT,368159694.0066,11538.0,2719.4,36391.8
DC,76414512.0004,2098.0,220.2,4893.8
DE,70671410.0022,3122.0,1118.8,17747.46
FL,1632665120.0214,75799.0,28927.9,353190.15
GA,658718362.0401,34103.0,40706.3,615227.14
HI,100663320.0008,1659.0,1633.2,31448.489999999998
IA,202980278.0977,10137.0,24334.4,402636.64
ID,111143430.0212,5229.0,9324.9,169796.45
IL,992363840.1229,36124.0,27866.1,577630.95
IN,408032496.044,24984.0,24648.1,352175.47
KS,192996114.065,9251.0,24915.5,408544.31
KY,235911902.0717,18111.0,44362.8,749905.14
LA,254009784.0382,16719.0,20574.7,321050.97
MA,711218448.0113,19356.0,4134.2,75400.37
MD,516527414.0264,16537.0,6145.9,93507.62
ME,88122632.034,2769.0,4796.9,105341.55
MI,652134304.0533,33972.0,24190.8,355689.83
MN,453679510.0629,13683.0,20992.8,400448.63
MO,380618038.0924,21600.0,31006.0,468350.25
MS,135145028.0331,13932.0,16750.3,392772.12
MT,69798958.0283,3605.0,23792.7,238838.13
NC,655796922.0368,31203.0,25740.6,570909.97
ND,57622025.0481,2832.0,12223.7,210681.04
NE,129916330.0546,5071.0,22628.4,331626.68
NH,122249848.013,2678.0,2517.9,52808.32
NJ,856468150.0138,33394.0,7054.6,140491.58
NM,112866906.0229,8194.0,5699.6,169826.37
NV,223395046.0061,11535.0,3487.5,70083.31
NY,1773392122.1021,74666.0,21922.0,338756.52
OH,753229104.0527,45879.0,26262.7,396586.11
OK,215009002.0602,17000.0,18938.4,353849.94
OR,298757696.0275,8100.0,9348.1,169512.88
PA,939560154.1002,48784.0,20872.4,288795.15
RI,79793104.0023,3785.0,1169.2,35881.68
SC,303096590.0237,19250.0,11275.0,209938.64
SD,59383710.0331,3154.0,16352.8,219910.12
TN,421087076.0397,27954.0,20891.7,513354.78
TX,2009629290.0952,98883.0,57755.4,1189240.68
UT,214266890.0151,5410.0,6417.0,84560.23
VA,688599126.0676,21034.0,39590.1,810135.56
VT,45741752.0252,755.0,4005.7,95896.71
WA,705256566.0318,13343.0,8691.5,160344.18
WI,411484512.0426,15562.0,18806.8,365337.81
WV,87025332.0769,7509.0,23991.5,390556.29
WY,48421544.0137,1704.0,5617.2,98909.54
