state,county,total_deaths
CA,Los Angeles County,31094.0
AZ,Maricopa County,17970.0
IL,Cook County,15478.0
TX,Harris County,13207.0
NY,Kings County,10733.0
FL,Miami-Dade County,10385.0
NY,Queens County,9153.0
NV,Clark County,9078.0
TX,Bexar County,8905.0
CA,San Bernardino County,8527.0
CA,Orange County,8378.0
CA,Riverside County,8049.0
TX,Tarrant County,7639.0
NY,New York County,7254.0
TX,Dallas County,7239.0
CA,San Diego County,7160.0
MI,Wayne County,7090.0
NY,Bronx County,6870.0
NY,Nassau County,6293.0
NY,Suffolk County,6200.0
FL,Broward County,6004.0
OH,Cuyahoga County,5747.0
FL,Palm Beach County,5668.0
PA,Philadelphia County,5134.0
MI,Oakland County,5127.0
PA,Allegheny County,5057.0
OH,Franklin County,4865.0
OK,Oklahoma County,4831.0
AZ,Pima County,4498.0
TX,El Paso County,4404.0
MO,St. Louis County,4363.0
IN,Marion County,4241.0
OK,Tulsa County,4215.0
FL,Hillsborough County,4092.0
FL,Duval County,4057.0
NJ,Bergen County,3975.0
TX,Hidalgo County,3952.0
MA,Middlesex County,3865.0
NJ,Essex County,3860.0
NY,Erie County,3831.0
TN,Shelby County,3793.0
AL,Jefferson County,3790.0
KY,Jefferson County,3758.0
TN,Davidson County,3736.0
NY,Westchester County,3706.0
MN,Hennepin County,3627.0
CT,Hartford County,3555.0
FL,Orange County,3549.0
OH,Hamilton County,3459.0
CA,Sacramento County,3434.0
FL,Pinellas County,3406.0
OH,Montgomery County,3258.0
PA,Montgomery County,3213.0
NJ,Middlesex County,3168.0
NM,Bernalillo County,3153.0
CT,New Haven County,3119.0
CA,Fresno County,3073.0
WA,King County,3038.0
GA,Fulton County,3001.0
MD,Montgomery County,2960.0
CT,Fairfield County,2956.0
NC,Mecklenburg County,2922.0
RI,Providence County,2889.0
MA,Suffolk County,2882.0
CA,Santa Clara County,2864.0
FL,Polk County,2730.0
TX,Collin County,2715.0
MO,Jackson County,2710.0
MI,Macomb County,2657.0
MD,Baltimore city,2653.0
WI,Milwaukee County,2612.0
NJ,Ocean County,2600.0
CA,Kern County,2576.0
MA,Worcester County,2534.0
CA,Stanislaus County,2531.0
OH,Lucas County,2511.0
NY,Monroe County,2500.0
TX,Cameron County,2490.0
TN,Knox County,2472.0
TX,Lubbock County,2426.0
TX,Travis County,2424.0
AR,Pulaski County,2419.0
SC,Greenville County,2418.0
MD,Baltimore County,2406.0
LA,East Baton Rouge Parish,2392.0
CA,San Joaquin County,2389.0
NJ,Monmouth County,2381.0
MA,Essex County,2374.0
TX,Smith County,2371.0
CA,Alameda County,2339.0
IN,Lake County,2328.0
TX,Montgomery County,2254.0
UT,Salt Lake County,2245.0
PA,Lehigh County,2223.0
FL,Brevard County,2212.0
NY,Richmond County,2202.0
FL,Lee County,2195.0
OH,Stark County,2180.0
CO,El Paso County,2163.0
FL,Marion County,2154.0
OH,Summit County,2151.0
NJ,Hudson County,2135.0
MO,Greene County,2126.0
TN,Hamilton County,2105.0
DC,District of Columbia,2098.0
MI,Kent County,2081.0
NJ,Union County,2076.0
NJ,Morris County,2073.0
FL,Volusia County,2057.0
KS,Sedgwick County,2041.0
FL,Sarasota County,2035.0
MN,Ramsey County,2032.0
MS,Hinds County,2022.0
IN,Allen County,2014.0
MD,Prince George's County,2005.0
TX,Nueces County,1995.0
SC,Spartanburg County,1983.0
NJ,Passaic County,1977.0
NJ,Camden County,1977.0
GA,Richmond County,1969.0
FL,Pasco County,1944.0
AL,Mobile County,1938.0
PA,Lancaster County,1920.0
LA,Jefferson Parish,1910.0
NC,Wake County,1909.0
GA,Cobb County,1903.0
LA,Caddo Parish,1896.0
PA,Bucks County,1880.0
NC,Forsyth County,1875.0
NE,Douglas County,1873.0
NC,Guilford County,1869.0
IL,DuPage County,1869.0
MA,Bristol County,1855.0
PA,Delaware County,1821.0
MA,Hampden County,1812.0
IA,Polk County,1780.0
OR,Multnomah County,1774.0
FL,Escambia County,1767.0
WA,Pierce County,1735.0
CA,Ventura County,1711.0
NY,Onondaga County,1704.0
MI,Genesee County,1690.0
TX,Potter County,1648.0
SC,Charleston County,1647.0
CO,Adams County,1638.0
KY,Fayette County,1636.0
GA,Hall County,1634.0
WA,Spokane County,1627.0
TX,Denton County,1618.0
ID,Ada County,1613.0
DE,New Castle County,1601.0
NV,Washoe County,1594.0
FL,Alachua County,1570.0
PA,York County,1548.0
TX,Jefferson County,1545.0
PA,Berks County,1526.0
VA,Fairfax County,1510.0
AL,Montgomery County,1510.0
CA,Tulare County,1508.0
CA,Contra Costa County,1506.0
PA,Luzerne County,1500.0
FL,Lake County,1486.0
KS,Johnson County,1481.0
OH,Mahoning County,1464.0
FL,Manatee County,1451.0
CO,Jefferson County,1448.0
GA,Gwinnett County,1445.0
CO,Arapahoe County,1438.0
SC,Richland County,1430.0
CO,Denver County,1415.0
PA,Dauphin County,1413.0
AL,Madison County,1413.0
GA,Chatham County,1411.0
MA,Norfolk County,1411.0
IL,Will County,1386.0
MA,Plymouth County,1380.0
TX,Bell County,1378.0
IL,Lake County,1377.0
PA,Chester County,1377.0
TN,Sullivan County,1349.0
TN,Madison County,1342.0
SC,Horry County,1324.0
NY,Orange County,1322.0
FL,Leon County,1309.0
SC,Florence County,1300.0
TX,McLennan County,1293.0
GA,Muscogee County,1288.0
TX,Williamson County,1281.0
NY,Rockland County,1272.0
AZ,Mohave County,1271.0
IL,Peoria County,1271.0
TX,Taylor County,1268.0
FL,Osceola County,1267.0
GA,DeKalb County,1263.0
MD,Anne Arundel County,1254.0
SD,Minnehaha County,1254.0
IL,Kane County,1253.0
TN,Rutherford County,1249.0
FL,Collier County,1245.0
HI,Honolulu County,1243.0
MI,Washtenaw County,1223.0
TX,Webb County,1222.0
NJ,Burlington County,1216.0
OH,Butler County,1211.0
TX,Gregg County,1206.0
TX,Fort Bend County,1203.0
MO,St. Louis city,1201.0
MI,Saginaw County,1189.0
WI,Waukesha County,1189.0
GA,Bibb County,1184.0
NJ,Mercer County,1179.0
LA,Ouachita Parish,1176.0
VA,Henrico County,1167.0
MI,Ingham County,1160.0
PA,Cumberland County,1145.0
PA,Erie County,1140.0
NY,Albany County,1137.0
MI,Kalamazoo County,1134.0
CA,Placer County,1125.0
NC,Buncombe County,1123.0
AZ,Yuma County,1122.0
FL,Hernando County,1089.0
AR,Craighead County,1085.0
IL,Winnebago County,1082.0
OH,Lorain County,1082.0
MT,Yellowstone County,1078.0
PA,Westmoreland County,1070.0
AR,Sebastian County,1066.0
WV,Kanawha County,1052.0
SC,Anderson County,1048.0
AL,Tuscaloosa County,1043.0
MO,Clay County,1041.0
IN,Vanderburgh County,1034.0
ND,Cass County,1032.0
AL,Houston County,1032.0
AZ,Yavapai County,1027.0
TX,Galveston County,1018.0
NH,Hillsborough County,1015.0
NJ,Atlantic County,1015.0
NY,Oneida County,1011.0
MS,Lee County,1007.0
UT,Utah County,1006.0
AR,Benton County,1001.0
LA,St. Tammany Parish,995.0
WI,Dane County,994.0
MO,St. Charles County,987.0
SC,Lexington County,985.0
TX,Grayson County,985.0
FL,St. Lucie County,971.0
NC,Gaston County,970.0
CA,San Francisco County,964.0
FL,Seminole County,963.0
PA,Lackawanna County,961.0
TX,Ector County,951.0
FL,Clay County,945.0
TX,Wichita County,945.0
NY,Dutchess County,944.0
NC,Cumberland County,941.0
WA,Snohomish County,940.0
TN,Washington County,932.0
LA,Orleans Parish,929.0
IN,St. Joseph County,928.0
TX,Bowie County,927.0
LA,Lafayette Parish,921.0
MS,DeSoto County,918.0
WV,Monongalia County,916.0
NJ,Gloucester County,913.0
DE,Sussex County,912.0
KS,Shawnee County,908.0
NM,Dona Ana County,906.0
WI,Brown County,906.0
GA,Floyd County,904.0
LA,Rapides Parish,898.0
FL,Bay County,897.0
MN,Anoka County,894.0
VA,Roanoke city,890.0
WA,Clark County,888.0
NC,Catawba County,888.0
CO,Pueblo County,884.0
FL,Citrus County,870.0
CA,Santa Barbara County,868.0
VA,Richmond city,867.0
CA,San Mateo County,862.0
AR,Washington County,862.0
MO,Newton County,859.0
OK,Cleveland County,857.0
NC,Durham County,856.0
MS,Harrison County,855.0
TX,Brazos County,854.0
VA,Lynchburg city,854.0
PA,Northampton County,847.0
KS,Wyandotte County,847.0
OH,Allen County,846.0
NY,Broome County,841.0
NC,New Hanover County,841.0
CA,Imperial County,841.0
IL,Madison County,838.0
PA,Blair County,835.0
NJ,Somerset County,834.0
OR,Washington County,833.0
NC,Cabarrus County,829.0
KY,Warren County,826.0
CA,Solano County,822.0
NE,Lancaster County,821.0
MN,St. Louis County,820.0
PA,Montour County,819.0
MO,Boone County,802.0
OH,Trumbull County,801.0
VA,Norfolk city,797.0
IL,St. Clair County,791.0
NC,Pitt County,790.0
WV,Cabell County,783.0
MS,Forrest County,783.0
MS,Lauderdale County,778.0
CO,Larimer County,778.0
GA,Clarke County,777.0
NM,Sandoval County,776.0
PA,Franklin County,774.0
IL,Sangamon County,774.0
GA,Henry County,774.0
NM,San Juan County,773.0
WA,Yakima County,771.0
